iter	MultiClass
0	1.073552425
1	1.055435115
2	1.036861297
3	1.02368478
4	1.01282771
5	1.002855344
6	0.9940582669
7	0.9858094169
8	0.9796332691
9	0.9747238403
10	0.9701077386
11	0.9648836787
12	0.9592202946
13	0.9545168313
14	0.9513817522
15	0.9487216032
16	0.9460087293
17	0.9435349398
18	0.9416976543
19	0.9381217687
20	0.9364190195
21	0.9347796142
22	0.9329992425
23	0.9302319314
24	0.9292623194
25	0.9269893354
26	0.9248697459
27	0.9236600454
28	0.9228528991
29	0.9216551481
30	0.9195878522
31	0.9186694434
32	0.9167923282
33	0.9149423579
34	0.9133336698
35	0.9107141417
36	0.9094948706
37	0.9086329606
38	0.9077908201
39	0.9063515403
40	0.9057655245
41	0.904272851
42	0.9032125235
43	0.9023300631
44	0.9010020335
45	0.8999820292
46	0.8994227602
47	0.8982112107
48	0.8976872485
49	0.8969358252
50	0.8961553015
51	0.8949878182
52	0.8939992493
53	0.8932273169
54	0.8922012413
55	0.8915968849
56	0.890770506
57	0.8900907114
58	0.8893393213
59	0.8888225881
60	0.8878531709
61	0.8869829579
62	0.8865862503
63	0.8860160991
64	0.8851196083
65	0.8845060862
66	0.8841281011
67	0.8832434843
68	0.8826616909
69	0.8818927203
70	0.8812079978
71	0.8802328206
72	0.8797344069
73	0.8789766667
74	0.8780265672
75	0.8777282762
76	0.876891985
77	0.8763935483
78	0.8757566315
79	0.8749347506
80	0.8742612151
81	0.8734308356
82	0.8730859924
83	0.8720139282
84	0.8714300096
85	0.870889058
86	0.8703947647
87	0.8699520079
88	0.8697156991
89	0.8692397734
90	0.8684865664
91	0.8672443974
92	0.86662395
93	0.8657788748
94	0.8651609608
95	0.8647968474
96	0.8641679728
97	0.8634075535
98	0.8630905075
99	0.862399417
100	0.8617481568
101	0.8610393194
102	0.8601502613
103	0.8595917192
104	0.8590125545
105	0.8583939041
106	0.8579491088
107	0.8576241601
108	0.8569351893
109	0.8564193626
110	0.8557914038
111	0.8553984537
112	0.8550851187
113	0.8536728361
114	0.8529756707
115	0.8521383652
116	0.8509368382
117	0.8505577008
118	0.8501810209
119	0.849563043
120	0.8491699606
121	0.8486785549
122	0.8481280494
123	0.8473128156
124	0.8466260121
125	0.8459219208
126	0.8456052269
127	0.844637192
128	0.8437301357
129	0.8432521431
130	0.8423333298
131	0.8417140588
132	0.8411688873
133	0.8402504343
134	0.8396945957
135	0.8388482416
136	0.8384216078
137	0.837854551
138	0.8371704771
139	0.8366009505
140	0.836099079
141	0.8355828395
142	0.8350997259
143	0.8343468055
144	0.8335264557
145	0.8327455971
146	0.8325218225
147	0.8319706159
148	0.8315121396
149	0.8307530434
150	0.8302799596
151	0.8295962896
152	0.8291141636
153	0.8284609386
154	0.8276325914
155	0.8271749792
156	0.8267357043
157	0.8265076383
158	0.8256504113
159	0.8250841768
160	0.8245812568
161	0.8236779726
162	0.8230710972
163	0.8226841309
164	0.8223124856
165	0.8217982581
166	0.8212654694
167	0.8209132327
168	0.8201867541
169	0.8197246369
170	0.8190964069
171	0.8181987339
172	0.8175137628
173	0.8170631165
174	0.8165702306
175	0.8161703514
176	0.8155464864
177	0.8149730753
178	0.8144844261
179	0.8140646892
180	0.8135893953
181	0.81267245
182	0.8122287604
183	0.8117092299
184	0.8113352035
185	0.8108845677
186	0.810583471
187	0.8097850049
188	0.8093243563
189	0.8086127506
190	0.8082034155
191	0.8078033429
192	0.80729335
193	0.8068211071
194	0.8063361268
195	0.8060251319
196	0.805641061
197	0.805286627
198	0.8046906469
199	0.80434889
